timestamp,raw_value
2025-10-15T09:47:56.204242,66
2025-10-15T09:47:56.204590,10
2025-10-15T09:47:56.204877,75
2025-10-15T09:47:56.205380,72
2025-10-15T09:47:56.205942,-34
2025-10-15T09:47:56.206254,-5
2025-10-15T09:47:56.206594,65
2025-10-15T09:47:56.206863,38
2025-10-15T09:47:56.207191,168
2025-10-15T09:47:56.207464,381
2025-10-15T09:47:56.207688,284
2025-10-15T09:47:56.207950,26
2025-10-15T09:47:56.208205,32
2025-10-15T09:47:56.208459,119
2025-10-15T09:47:56.208684,44
2025-10-15T09:47:56.208871,-9
2025-10-15T09:47:56.209097,43
2025-10-15T09:47:56.209347,-60
2025-10-15T09:47:56.209533,-195
2025-10-15T09:47:56.234966,-62
2025-10-15T09:47:56.235730,-92
2025-10-15T09:47:56.236264,-38
2025-10-15T09:47:56.236824,44
2025-10-15T09:47:56.237494,-25
2025-10-15T09:47:56.238222,-119
2025-10-15T09:47:56.239007,-30
2025-10-15T09:47:56.240016,-44
2025-10-15T09:47:56.240738,-121
2025-10-15T09:47:56.241434,-53
2025-10-15T09:47:56.242167,82
2025-10-15T09:47:56.242829,128
2025-10-15T09:47:56.243632,234
2025-10-15T09:47:56.244259,279
2025-10-15T09:47:56.244949,104
2025-10-15T09:47:56.245523,-83
2025-10-15T09:47:56.246062,-1
2025-10-15T09:47:56.246632,83
2025-10-15T09:47:56.292928,-81
2025-10-15T09:47:56.293710,-52
2025-10-15T09:47:56.294447,-145
2025-10-15T09:47:56.295138,-216
2025-10-15T09:47:56.295849,-103
2025-10-15T09:47:56.296387,-41
2025-10-15T09:47:56.296909,-90
2025-10-15T09:47:56.297441,53
2025-10-15T09:47:56.297953,253
2025-10-15T09:47:56.298542,167
2025-10-15T09:47:56.299151,21
2025-10-15T09:47:56.299891,29
2025-10-15T09:47:56.300542,9
2025-10-15T09:47:56.301155,-82
2025-10-15T09:47:56.301674,2
2025-10-15T09:47:56.302350,53
2025-10-15T09:47:56.302975,-60
2025-10-15T09:47:56.303682,-118
2025-10-15T09:47:56.304323,-24
2025-10-15T09:47:56.310354,-130
2025-10-15T09:47:56.311284,-23
2025-10-15T09:47:56.312100,65
2025-10-15T09:47:56.312804,-41
2025-10-15T09:47:56.313578,-45
2025-10-15T09:47:56.314231,9
2025-10-15T09:47:56.314945,-45
2025-10-15T09:47:56.315548,-103
2025-10-15T09:47:56.316245,10
2025-10-15T09:47:56.316980,27
2025-10-15T09:47:56.317629,25
2025-10-15T09:47:56.318275,170
2025-10-15T09:47:56.319049,256
2025-10-15T09:47:56.319700,82
2025-10-15T09:47:56.320216,7
2025-10-15T09:47:56.320819,104
2025-10-15T09:47:56.322187,83
2025-10-15T09:47:56.323076,-9
2025-10-15T09:47:56.323878,98
2025-10-15T09:47:56.370062,-39
2025-10-15T09:47:56.370777,-70
2025-10-15T09:47:56.371501,65
2025-10-15T09:47:56.372285,52
2025-10-15T09:47:56.373142,3
2025-10-15T09:47:56.374057,171
2025-10-15T09:47:56.374783,349
2025-10-15T09:47:56.375468,327
2025-10-15T09:47:56.376269,218
2025-10-15T09:47:56.377037,134
2025-10-15T09:47:56.377670,9
2025-10-15T09:47:56.378387,19
2025-10-15T09:47:56.378986,169
2025-10-15T09:47:56.379601,144
2025-10-15T09:47:56.380179,-51
2025-10-15T09:47:56.380869,-50
2025-10-15T09:47:56.381732,-9
2025-10-15T09:47:56.382433,-101
2025-10-15T09:47:56.383617,-113
2025-10-15T09:47:56.399973,35
2025-10-15T09:47:56.400702,9
2025-10-15T09:47:56.401364,97
2025-10-15T09:47:56.402209,136
2025-10-15T09:47:56.402819,-5
2025-10-15T09:47:56.403411,-49
2025-10-15T09:47:56.404104,-17
2025-10-15T09:47:56.404819,-40
2025-10-15T09:47:56.405508,2
2025-10-15T09:47:56.406703,171
2025-10-15T09:47:56.407586,131
2025-10-15T09:47:56.408436,-19
2025-10-15T09:47:56.410010,12
2025-10-15T09:47:56.410683,136
2025-10-15T09:47:56.411279,51
2025-10-15T09:47:56.411936,24
2025-10-15T09:47:56.412534,155
2025-10-15T09:47:56.413149,181
2025-10-15T09:47:56.430023,56
2025-10-15T09:47:56.430950,72
2025-10-15T09:47:56.431813,-4
2025-10-15T09:47:56.432449,25
2025-10-15T09:47:56.433026,140
2025-10-15T09:47:56.433631,81
2025-10-15T09:47:56.434327,-23
2025-10-15T09:47:56.434919,5
2025-10-15T09:47:56.435631,-17
2025-10-15T09:47:56.436191,-148
2025-10-15T09:47:56.436771,-141
2025-10-15T09:47:56.437497,-24
2025-10-15T09:47:56.438335,18
2025-10-15T09:47:56.439114,145
2025-10-15T09:47:56.439999,314
2025-10-15T09:47:56.440837,227
2025-10-15T09:47:56.441604,-3
2025-10-15T09:47:56.442234,22
2025-10-15T09:47:56.443053,82
2025-10-15T09:47:56.459498,-36
2025-10-15T09:47:56.459988,72
2025-10-15T09:47:56.460481,-9
2025-10-15T09:47:56.460824,-120
2025-10-15T09:47:56.461099,-62
2025-10-15T09:47:56.461457,6
2025-10-15T09:47:56.461738,-57
2025-10-15T09:47:56.461987,12
2025-10-15T09:47:56.462295,201
2025-10-15T09:47:56.462625,256
2025-10-15T09:47:56.462906,149
2025-10-15T09:47:56.463231,97
2025-10-15T09:47:56.463583,-8
2025-10-15T09:47:56.463881,-75
2025-10-15T09:47:56.490081,77
2025-10-15T09:47:56.490634,-74
2025-10-15T09:47:56.491138,-171
2025-10-15T09:47:56.491496,-120
2025-10-15T09:47:56.491921,-136
2025-10-15T09:47:56.492357,-199
2025-10-15T09:47:56.492715,-57
2025-10-15T09:47:56.493068,48
2025-10-15T09:47:56.493468,49
2025-10-15T09:47:56.493868,189
2025-10-15T09:47:56.494335,362
2025-10-15T09:47:56.494748,219
2025-10-15T09:47:56.495235,10
2025-10-15T09:47:56.495611,8
2025-10-15T09:47:56.495934,24
2025-10-15T09:47:56.496343,-29
2025-10-15T09:47:56.496711,8
2025-10-15T09:47:56.497036,45
2025-10-15T09:47:56.497394,-65
2025-10-15T09:47:56.534445,9
2025-10-15T09:47:56.534883,41
2025-10-15T09:47:56.535177,-13
2025-10-15T09:47:56.535486,113
2025-10-15T09:47:56.535815,249
2025-10-15T09:47:56.536068,205
2025-10-15T09:47:56.536357,115
2025-10-15T09:47:56.536626,107
2025-10-15T09:47:56.536990,-3
2025-10-15T09:47:56.537311,-68
2025-10-15T09:47:56.537608,25
2025-10-15T09:47:56.537967,97
2025-10-15T09:47:56.538439,-8
2025-10-15T09:47:56.539034,-5
2025-10-15T09:47:56.539474,43
2025-10-15T09:47:56.539833,-25
2025-10-15T09:47:56.540264,-105
2025-10-15T09:47:56.540669,-12
2025-10-15T09:47:56.580030,-56
2025-10-15T09:47:56.580720,1
2025-10-15T09:47:56.581378,83
2025-10-15T09:47:56.582172,-2
2025-10-15T09:47:56.582806,-6
2025-10-15T09:47:56.583465,74
2025-10-15T09:47:56.584113,6
2025-10-15T09:47:56.584649,-57
2025-10-15T09:47:56.585319,177
2025-10-15T09:47:56.585921,338
2025-10-15T09:47:56.586721,176
2025-10-15T09:47:56.587662,20
2025-10-15T09:47:56.588407,67
2025-10-15T09:47:56.589217,34
2025-10-15T09:47:56.590010,-5
2025-10-15T09:47:56.590743,69
2025-10-15T09:47:56.591499,67
2025-10-15T09:47:56.592250,-82
2025-10-15T09:47:56.592940,-121
2025-10-15T09:47:56.610173,-123
2025-10-15T09:47:56.611050,-116
2025-10-15T09:47:56.611709,34
2025-10-15T09:47:56.612494,88
2025-10-15T09:47:56.613242,11
2025-10-15T09:47:56.614022,69
2025-10-15T09:47:56.614773,53
2025-10-15T09:47:56.615521,-113
